order_reference,client_request_id,client_reference,symbol,direction,units,unit_price,state,placed_at
0e9b41c2-5a7d-4f18-91ac-000000000001,mob-2201-9f4c1a,ETP-2201,SATYAM.BO,BUY,100,21.50,FILLED,2026-05-14 10:31:06
0e9b41c2-5a7d-4f18-91ac-000000000002,mob-2201-4b7e02,ETP-2201,INFY.NS,BUY,200,1580.50,FILLED,2026-06-08 09:47:12
0e9b41c2-5a7d-4f18-91ac-000000000003,mob-2201-c81d33,ETP-2201,INFY.NS,BUY,100,1595.50,FILLED,2026-06-19 11:03:45
0e9b41c2-5a7d-4f18-91ac-000000000004,web-2201-2a6f90,ETP-2201,TATASTEEL.BO,BUY,500,164.20,FILLED,2026-06-25 10:15:08
0e9b41c2-5a7d-4f18-91ac-000000000005,web-2201-77b415,ETP-2201,HDFCBANK.NS,BUY,40,1650.00,REJECTED,2026-07-02 14:22:31
0e9b41c2-5a7d-4f18-91ac-000000000006,mob-2201-e30c58,ETP-2201,TATASTEEL.BO,SELL,100,172.00,CANCELLED,2026-07-14 15:40:57
0e9b41c2-5a7d-4f18-91ac-000000000007,mob-2201-b1a7d6,ETP-2201,RELIANCE.NS,BUY,50,1410.00,NEW,2026-08-03 09:05:19
0e9b41c2-5a7d-4f18-91ac-000000000008,web-2202-0c5e21,ETP-2202,RELIANCE.NS,BUY,400,1425.00,FILLED,2026-06-11 09:31:04
0e9b41c2-5a7d-4f18-91ac-000000000009,web-2202-8d33af,ETP-2202,AAPL,BUY,60,232.50,FILLED,2026-06-30 13:52:26
0e9b41c2-5a7d-4f18-91ac-000000000010,web-2202-45f10b,ETP-2202,RELIANCE.NS,SELL,150,1468.00,FILLED,2026-07-09 10:28:33
0e9b41c2-5a7d-4f18-91ac-000000000011,mob-2202-9ac47e,ETP-2202,X:BTC-USD,BUY,1,61000.00,REJECTED,2026-07-21 16:11:02
0e9b41c2-5a7d-4f18-91ac-000000000012,mob-2202-3e88d0,ETP-2202,SPY,BUY,25,548.00,NEW,2026-08-04 08:12:47
0e9b41c2-5a7d-4f18-91ac-000000000013,mob-2203-6f2b19,ETP-2203,TATASTEEL.BO,BUY,15,163.00,FILLED,2026-06-17 12:05:41
0e9b41c2-5a7d-4f18-91ac-000000000014,mob-2203-a0d752,ETP-2203,INFY.NS,BUY,10,1585.00,REJECTED,2026-07-06 09:58:15
0e9b41c2-5a7d-4f18-91ac-000000000015,mob-2203-51c6e4,ETP-2203,TATASTEEL.BO,BUY,20,160.00,NEW,2026-08-05 10:44:29
0e9b41c2-5a7d-4f18-91ac-000000000016,web-2204-7b9038,ETP-2204,HDFCBANK.NS,BUY,30,1672.00,FILLED,2026-06-23 11:19:53
0e9b41c2-5a7d-4f18-91ac-000000000017,web-2204-1d4ac5,ETP-2204,SPY,BUY,10,552.00,CANCELLED,2026-07-28 14:03:38
0e9b41c2-5a7d-4f18-91ac-000000000018,mob-2204-c27e63,ETP-2204,AAPL,BUY,20,230.00,NEW,2026-08-06 09:22:10
